horizon,block,estimator,rmse_rolling_origin,r2_rolling_origin,rmse_random_kfold,r2_random_kfold,rmse_ratio_kfold_over_rolling,r2_inflation_kfold_minus_rolling
0,ar,gradient_boosting,0.33741647776862854,0.8213653466174499,0.2008657619491039,0.9479845938726918,0.5953051352958539,0.12661924725524198
0,ar,random_forest,0.36028677710759915,0.796328724505342,0.20639619055888428,0.9450808868810692,0.572866404412184,0.1487521623757272
0,ar,ridge,0.22343633860165035,0.9216677234354579,0.2032753896393307,0.9467291330046168,0.9097687104591199,0.02506140956915892
0,wbe,gradient_boosting,0.9163229535619447,-0.13326677783756025,0.6643056304382319,0.43045636335424586,0.724968885539681,0.5637231411918061
0,wbe,random_forest,0.8948692652593193,-0.08082208617161846,0.647448051361411,0.45899535567410743,0.7235113289691434,0.5398174418457259
0,wbe,ridge,1.067993746350104,-0.5394743084334042,0.7907113901967937,0.19308622979071777,0.7403708054462587,0.7325605382241219
0,wbe+ar,gradient_boosting,0.42139903385040245,0.7603253524982223,0.19212448037716726,0.9523616677553814,0.45592055259759295,0.19203631525715914
0,wbe+ar,random_forest,0.46997704776307864,0.7018819142709679,0.21039763960924204,0.9428688634666997,0.44767641443483036,0.24098694919573183
0,wbe+ar,ridge,0.22471300322144316,0.9318459867791055,0.19348389148582915,0.9516851356582862,0.8610266816431654,0.0198391488791807
1,ar,gradient_boosting,0.530089359372361,0.5992848272381304,0.3530467191464674,0.8344137700161551,0.6660135935655895,0.23512894277802476
1,ar,random_forest,0.5295155034267773,0.6001519576981025,0.35069818354025784,0.8366094663138639,0.6623001239259337,0.23645750861576142
1,ar,ridge,0.4099337420463618,0.7603568896324104,0.3595613698385931,0.8282463753536483,0.8771206977100416,0.06788948572123787
1,wbe,gradient_boosting,0.9402564023907682,-0.24465153791152927,0.659833552881374,0.41733756229354513,0.7017591703748366,0.6619891002050744
1,wbe,random_forest,0.9109381788849958,-0.16824246977720647,0.6431967559186401,0.44634921459084376,0.7060816758234068,0.6145916843680502
1,wbe,ridge,1.096989146223454,-0.6941811397667126,0.7816316041708995,0.18237821951692312,0.7125244646784162,0.8765593592836357
1,wbe+ar,gradient_boosting,0.5464971302770982,0.57953393257768,0.3058078651228135,0.8748457703013348,0.5595781719251762,0.29531183772365477
1,wbe+ar,random_forest,0.587593411320057,0.5139185851702679,0.30824939206405844,0.8728393652198833,0.5245964065042208,0.35892078004961536
1,wbe+ar,ridge,0.4040210247654224,0.7701930741485858,0.32990584925237,0.854344039607928,0.8165561419579977,0.0841509654593422
2,ar,gradient_boosting,0.6445314868724412,0.3920982879614774,0.4719139884075101,0.6940035350553073,0.7321814341413335,0.30190524709382993
2,ar,random_forest,0.6409649037481778,0.39880745031465437,0.4598063921547643,0.7095036255345785,0.7173659422941088,0.3106961752199241
2,ar,ridge,0.5608427887060689,0.539714419664241,0.48147887765337016,0.6814737808628919,0.8584916974045423,0.14175936119865085
2,wbe,gradient_boosting,0.9221249915915174,-0.2765441768859651,0.6618398300796179,0.39150192853634347,0.7177333182753597,0.6680461054223086
2,wbe,random_forest,0.9006010502466805,-0.21764632409167683,0.6460067677249117,0.42026764103850045,0.7173062562473875,0.6379139651301773
2,wbe,ridge,1.0731839820765763,-0.7290383568386298,0.7640548886434494,0.18903422881912124,0.7119514467268026,0.9180725856577511
2,wbe+ar,gradient_boosting,0.6298392081126125,0.4044535383956306,0.3984884369720665,0.7794104908587729,0.6326828051340025,0.3749569524631423
2,wbe+ar,random_forest,0.688736898956492,0.28786395945015875,0.3943743627983083,0.783941798679513,0.5726052479485656,0.4960778392293542
2,wbe+ar,ridge,0.5492851054526089,0.5470482839645707,0.43938221772475305,0.7318126063563111,0.799916497576798,0.18476432239174034
