horizon,block,estimator,n,rmse,mae,r2,spearman,bias,skill_vs_mean,skill_vs_persistence
0,wbe,random_forest,942,0.8948692652593193,0.6733899528219668,-0.08082208617161846,0.2933596070601823,-0.16643858619253127,0.10854903441601282,
0,wbe,gradient_boosting,942,0.9163229535619447,0.6950060613754147,-0.13326677783756025,0.2815680626066405,-0.17444474891193762,0.0871772967832859,
0,wbe,baseline_mean,942,1.0038345347162116,0.7569286034937472,-0.3600638309362867,-0.3912664912149127,-0.1814606834414109,0.0,
0,wbe,ridge,942,1.067993746350104,0.8251074980677051,-0.5394743084334042,0.298215504565513,-0.2363572465814892,-0.06391413068093965,
0,ar,ridge,950,0.22343633860165035,0.16278655627696634,0.9216677234354579,0.9510817332475998,-0.018204609840187794,,0.21996639452878375
0,ar,baseline_drift,950,0.24853705617032032,0.18288341444518535,0.9030795467632733,0.9464224841315442,-0.011298500889806924,,0.1323378406975685
0,ar,baseline_persistence,950,0.2864445032040293,0.20534762329477144,0.8712598171023742,0.9356086315517247,0.03464317380766036,,0.0
0,ar,gradient_boosting,950,0.33741647776862854,0.2177987275457865,0.8213653466174499,0.9364636705213232,-0.06029149268199752,,-0.17794712062703755
0,ar,random_forest,950,0.36028677710759915,0.2219808934316126,0.796328724505342,0.931142568227628,-0.05486437443326451,,-0.2577891112505424
0,ar,baseline_mean,950,0.885888675037056,0.6967439179125997,-0.23137813023811482,-0.2699791922309294,-0.1383051781410513,,-2.0927061442196826
0,wbe+ar,ridge,942,0.22471300322144316,0.16338036421462057,0.9318459867791055,0.949704677967348,-0.013986195929472063,,0.17916999860360117
0,wbe+ar,baseline_drift,942,0.2580007484292485,0.18983589073079385,0.9101585075563413,0.9465307881437036,0.007159853814485428,,0.057576768333433614
0,wbe+ar,baseline_persistence,942,0.2737631456442389,0.19644251832646714,0.8988455504654965,0.9379502972974474,0.02560615559325212,,0.0
0,wbe+ar,gradient_boosting,942,0.42139903385040245,0.2624384392370816,0.7603253524982223,0.9347851750390099,-0.08936871574738543,,-0.5392832839450914
0,wbe+ar,random_forest,942,0.46997704776307864,0.30274224481706813,0.7018819142709679,0.9148466958216992,-0.09063321611734716,,-0.7167286950078513
0,wbe+ar,baseline_mean,942,1.0038345347162116,0.7569286034937472,-0.3600638309362867,-0.3912664912149127,-0.1814606834414109,,-2.6667993873094815
1,wbe,random_forest,942,0.9109381788849958,0.7012635430525997,-0.16824246977720647,0.2628155082383258,-0.16904178010620657,0.10026217913726865,
1,wbe,gradient_boosting,942,0.9402564023907682,0.7291347809641395,-0.24465153791152927,0.24122879428088936,-0.18981955564790548,0.07130443519800567,
1,wbe,baseline_mean,942,1.0124484686122506,0.7743155203702452,-0.4431153198687232,-0.45316906798121787,-0.20558285605442342,0.0,
1,wbe,ridge,942,1.096989146223454,0.8448390679498204,-0.6941811397667126,0.25214713520529236,-0.26753836955490023,-0.08350121535279942,
