estimator,threshold,net_benefit_model,net_benefit_alert_all,net_benefit_alert_none,alert_rate,benefit_over_best_default,block
gradient_boosting,0.02,0.08556649496859446,0.08500141270565735,0.0,0.919062832800852,0.0005650822629371111,wbe
gradient_boosting,0.039999999999999994,0.07161874334398297,0.06593894213702521,0.0,0.8104366347177849,0.005679801206957755,wbe
gradient_boosting,0.06,0.06061224027371809,0.04606530260802575,0.0,0.6656017039403621,0.014546937665692337,wbe
gradient_boosting,0.07999999999999999,0.05144232995323425,0.025327591795156756,0.0,0.5133120340788072,0.026114738158077494,wbe
gradient_boosting,0.09999999999999999,0.03798367057153001,0.003668204946160228,0.0,0.4355697550585729,0.03431546562536978,wbe
gradient_boosting,0.11999999999999998,0.02250943944234679,-0.018975699486881575,0.0,0.39403620873269435,0.02250943944234679,wbe
gradient_boosting,0.13999999999999999,0.020605790425242097,-0.042672808777274154,0.0,0.3450479233226837,0.020605790425242097,wbe
gradient_boosting,0.15999999999999998,0.016937978599320468,-0.06749835184339971,0.0,0.32374866879659214,0.016937978599320468,wbe
gradient_boosting,0.17999999999999997,0.0020520013506844445,-0.09353489701031188,0.0,0.28647497337593186,0.0020520013506844445,wbe
gradient_boosting,0.19999999999999996,0.0034611288604899024,-0.12087326943556968,0.0,0.2523961661341853,0.0034611288604899024,wbe
gradient_boosting,0.21999999999999995,-0.0006826684142978018,-0.14961360967750736,0.0,0.23961661341853036,-0.0006826684142978018,wbe
gradient_boosting,0.23999999999999996,-0.002354128131831168,-0.1798665994058628,0.0,0.22044728434504793,-0.002354128131831168,wbe
gradient_boosting,0.25999999999999995,-0.007512304636905269,-0.2117548858762916,0.0,0.20979765708200213,-0.007512304636905269,wbe
gradient_boosting,0.27999999999999997,-0.0037865341379718365,-0.24541474381729966,0.0,0.13525026624068157,-0.0037865341379718365,wbe
gradient_boosting,0.3,-0.007759014148790509,-0.28099802221207976,0.0,0.11395101171458999,-0.007759014148790509,wbe
gradient_boosting,0.31999999999999995,0.0016914113888366923,-0.31867443463008194,0.0,0.08626198083067092,0.0016914113888366923,wbe
gradient_boosting,0.33999999999999997,0.0035821473521154105,-0.3586342659825087,0.0,0.07135250266240682,0.0035821473521154105,wbe
gradient_boosting,0.36,0.005657614483493077,-0.40109158679446216,0.0,0.06389776357827476,0.005657614483493077,wbe
gradient_boosting,0.37999999999999995,0.004672094541207192,-0.4462880895942834,0.0,0.059637912673056445,0.004672094541207192,wbe
gradient_boosting,0.39999999999999997,0.003194888178913745,-0.49449769258075954,0.0,0.05644302449414271,0.003194888178913745,wbe
gradient_boosting,0.41999999999999993,0.0029011053578642046,-0.5460320957731993,0.0,0.054313099041533544,0.0029011053578642046,wbe
gradient_boosting,0.43999999999999995,0.0043359196713829325,-0.6012475277650995,0.0,0.04046858359957402,0.0043359196713829325,wbe
gradient_boosting,0.45999999999999996,0.0016171656214254756,-0.6605529917563995,0.0,0.03514376996805112,0.0016171656214254756,wbe
gradient_boosting,0.4799999999999999,0.0022937658720406373,-0.7244204145162609,0.0,0.03301384451544196,0.0022937658720406373,wbe
gradient_boosting,0.49999999999999994,1.734723475976807e-18,-0.7933972310969114,0.0,0.029818956336528223,1.734723475976807e-18,wbe
gradient_boosting,0.5199999999999999,-0.001242456514022005,-0.8681221157259492,0.0,0.029818956336528223,-0.001242456514022005,wbe
gradient_boosting,0.5399999999999999,-0.0025929527249154913,-0.949344816409686,0.0,0.029818956336528223,-0.0025929527249154913,wbe
gradient_boosting,0.5599999999999999,-0.004259850905218316,-1.0379513989737628,0.0,0.022364217252396165,-0.004259850905218316,wbe
gradient_boosting,0.58,-0.0036513007759014122,-1.1349967036867992,0.0,0.019169329073482427,-0.0036513007759014122,wbe
gradient_boosting,0.6,-0.002662406815761447,-1.2417465388711393,0.0,0.01597444089456869,-0.002662406815761447,wbe
logistic,0.02,0.0848927430397079,0.08500141270565735,0.0,0.952076677316294,-0.00010866966594945404,wbe
logistic,0.039999999999999994,0.06926695065672701,0.06593894213702521,0.0,0.8668796592119276,0.0033280085197018028,wbe
logistic,0.06,0.059977794394217486,0.04606530260802575,0.0,0.7465388711395101,0.013912491786191736,wbe
logistic,0.07999999999999999,0.04852525813770432,0.025327591795156756,0.0,0.6134185303514377,0.023197666342547565,wbe
logistic,0.09999999999999999,0.037747012187906756,0.003668204946160228,0.0,0.42705005324813633,0.03407880724174653,wbe
logistic,0.11999999999999998,0.030738696872882186,-0.018975699486881575,0.0,0.3514376996805112,0.030738696872882186,wbe
logistic,0.13999999999999999,0.03063625331252942,-0.042672808777274154,0.0,0.27582534611288606,0.03063625331252942,wbe
logistic,0.15999999999999998,0.029007556164105695,-0.06749835184339971,0.0,0.22044728434504793,0.029007556164105695,wbe
logistic,0.17999999999999997,0.027559157380711196,-0.09353489701031188,0.0,0.18210862619808307,0.027559157380711196,wbe
logistic,0.19999999999999996,0.025292864749733766,-0.12087326943556968,0.0,0.1597444089456869,0.025292864749733766,wbe
logistic,0.21999999999999995,0.021790775784386013,-0.14961360967750736,0.0,0.14057507987220447,0.021790775784386013,wbe
logistic,0.23999999999999996,0.016647048932234745,-0.1798665994058628,0.0,0.12034078807241747,0.016647048932234745,wbe
logistic,0.25999999999999995,0.015945658118182087,-0.2117548858762916,0.0,0.0979765708200213,0.015945658118182087,wbe
logistic,0.27999999999999997,0.012720388119749147,-0.24541474381729966,0.0,0.08519701810436635,0.012720388119749147,wbe
logistic,0.3,0.013692377909630304,-0.28099802221207976,0.0,0.07454739084132056,0.013692377909630304,wbe
logistic,0.31999999999999995,0.0075173839503852695,-0.31867443463008194,0.0,0.06389776357827476,0.0075173839503852695,wbe
logistic,0.33999999999999997,0.005905702391325398,-0.3586342659825087,0.0,0.054313099041533544,0.005905702391325398,wbe
logistic,0.36,0.007388178913738018,-0.40109158679446216,0.0,0.04898828541001065,0.007388178913738018,wbe
logistic,0.37999999999999995,0.007592153629461683,-0.4462880895942834,0.0,0.043663471778487756,0.007592153629461683,wbe
logistic,0.39999999999999997,0.005679801206957758,-0.49449769258075954,0.0,0.039403620873269436,0.005679801206957758,wbe
logistic,0.41999999999999993,0.006059270684146748,-0.5460320957731993,0.0,0.03727369542066028,0.006059270684146748,wbe
logistic,0.43999999999999995,0.0049444698006998345,-0.6012475277650995,0.0,0.03727369542066028,0.0049444698006998345,wbe
logistic,0.45999999999999996,0.003747091074034632,-0.6605529917563995,0.0,0.03727369542066028,0.003747091074034632,wbe
logistic,0.4799999999999999,0.0013107233554517927,-0.7244204145162609,0.0,0.03407880724174654,0.0013107233554517927,wbe
logistic,0.49999999999999994,0.0031948881789137414,-0.7933972310969114,0.0,0.0308839190628328,0.0031948881789137414,wbe
logistic,0.5199999999999999,0.0011537096201632967,-0.8681221157259492,0.0,0.025559105431309903,0.0011537096201632967,wbe
logistic,0.5399999999999999,0.0013427790896883857,-0.949344816409686,0.0,0.024494142705005325,0.0013427790896883857,wbe
logistic,0.5599999999999999,-0.000774518346403328,-1.0379513989737628,0.0,0.023429179978700747,-0.000774518346403328,wbe
logistic,0.58,-0.004057000862112681,-1.1349967036867992,0.0,0.021299254526091587,-0.004057000862112681,wbe
logistic,0.6,-0.005324813631522896,-1.2417465388711393,0.0,0.021299254526091587,-0.005324813631522896,wbe
random_forest,0.02,0.08797896155267218,0.08500141270565735,0.0,0.8008519701810437,0.00297754884701483,wbe
random_forest,0.039999999999999994,0.07547923322683706,0.06593894213702521,0.0,0.744408945686901,0.009540291089811845,wbe
random_forest,0.06,0.06571046609113362,0.04606530260802575,0.0,0.5857294994675186,0.019645163483107873,wbe
random_forest,0.07999999999999999,0.05426679631430292,0.025327591795156756,0.0,0.5207667731629393,0.028939204519146167,wbe
random_forest,0.09999999999999999,0.03881197491421134,0.003668204946160228,0.0,0.35356762513312034,0.03514376996805111,wbe
random_forest,0.11999999999999998,0.03296543711879175,-0.018975699486881575,0.0,0.31735889243876464,0.03296543711879175,wbe
random_forest,0.13999999999999999,0.030586720162468738,-0.042672808777274154,0.0,0.26091586794462196,0.030586720162468738,wbe
random_forest,0.15999999999999998,0.028753993610223655,-0.06749835184339971,0.0,0.2417465388711395,0.028753993610223655,wbe
random_forest,0.17999999999999997,0.026000675342216686,-0.09353489701031188,0.0,0.22470713525026625,0.026000675342216686,wbe
random_forest,0.19999999999999996,0.02050053248136316,-0.12087326943556968,0.0,0.2055378061767838,0.02050053248136316,wbe
random_forest,0.21999999999999995,0.015537533109418099,-0.14961360967750736,0.0,0.18210862619808307,0.015537533109418099,wbe
random_forest,0.23999999999999996,0.01165853931954488,-0.1798665994058628,0.0,0.16719914802981894,0.01165853931954488,wbe
random_forest,0.25999999999999995,0.006994214661946295,-0.2117548858762916,0.0,0.14802981895633652,0.006994214661946295,wbe
random_forest,0.27999999999999997,0.005679801206957769,-0.24541474381729966,0.0,0.1299254526091587,0.005679801206957769,wbe
