region_code,lag_weeks,spearman_rho,p_value,n_weeks
06001,-2,-0.0032085762860413368,0.9777579133820341,78
06001,-1,0.09195805000033885,0.42328339227288175,78
06001,0,0.1432699063375849,0.2108017557234802,78
06001,1,0.18427606177805966,0.10863921517653977,77
06001,2,0.15749673819818427,0.1742206238078022,76
06001,3,0.13033712418251395,0.2650405605417662,75
06001,4,0.07186043512469444,0.5429022418853198,74
06001,5,-0.05001850004361283,0.6743062241308384,73
06001,6,-0.19424515870644735,0.10205063683286204,72
06013,-2,-0.1426832959793014,0.1873802654376904,87
06013,-1,-0.09787389224359379,0.3671255547745199,87
06013,0,0.020139548521240558,0.8480465859594316,93
06013,1,0.0446085056549688,0.6816103115167683,87
06013,2,0.06367755293449635,0.5602489080892386,86
06013,3,0.03906485396130896,0.722617283414642,85
06013,4,-0.011340656213703648,0.918951417633507,83
06013,5,-0.07287250978296991,0.5152892707801731,82
06013,6,-0.11570978863523279,0.3067385892993524,80
06019,-2,-0.17371221175236654,0.18824487692209935,59
06019,-1,-0.017330237505460228,0.896346765715493,59
06019,0,0.11651071836441167,0.37951739723078665,59
06019,1,0.23954554186572727,0.07012855210349794,58
06019,2,0.3827777105160658,0.003295954573708239,57
06019,3,0.48363115797640654,0.0001593656598582691,56
06019,4,0.5604496193716042,8.594537590112105e-06,55
06019,5,0.5708897520132069,6.554692964187948e-06,54
06019,6,0.5120448289972784,8.884589119990793e-05,53
06025,-2,0.10718584753185793,0.4232218568082184,58
06025,-1,0.22570421956358305,0.0856453519378112,59
06025,0,0.33785441012320533,0.006767645503204549,63
06025,1,0.42237419337608967,0.0009575566376890719,58
06025,2,0.4348393356960615,0.0008111655526420665,56
06025,3,0.43533237219396675,0.0008946944092080317,55
06025,4,0.37719175674541544,0.004528995585786405,55
06025,5,0.2822167141182787,0.03683904348711615,55
06025,6,0.16831712012018435,0.22374335340013135,54
06029,-2,-0.23653956952164626,0.057820369618948916,65
06029,-1,-0.07351609513934478,0.5605709128801634,65
06029,0,0.08977024966657773,0.47699406845249476,65
06029,1,0.21730617797876023,0.08455201375193958,64
06029,2,0.28233241338712434,0.024968300863183933,63
06029,3,0.34006848194983,0.006844430941036908,62
06029,4,0.40965435489245317,0.0010436972614210665,61
06029,5,0.4594781905322839,0.00022159643101130988,60
06029,6,0.48924323588383006,8.419121331221444e-05,59
06033,-2,0.1589962997224792,0.28575484960057296,47
06033,-1,0.4264003473729917,0.002510818901473389,48
06033,0,0.5488775510204081,4.434059412003376e-05,49
06033,1,0.6453515263644773,9.711124228240325e-07,47
06033,2,0.6577075098814228,9.156518586163377e-07,45
06033,3,0.5794221282593376,3.768717578539349e-05,44
06033,4,0.5579885231048022,0.00010118830263343136,43
06033,5,0.4609837128271615,0.0021234266485482384,42
06033,6,0.25365853658536586,0.10953765019819572,41
06037,-2,0.20319348382235813,0.09402544842914726,69
06037,-1,0.3388265982037809,0.004401614365828936,69
06037,0,0.404890640303437,0.0005075870255677356,70
06037,1,0.4481975533267666,0.00012667656381639406,68
06037,2,0.4383606010492812,0.00020704453077181596,67
06037,3,0.3743549661001243,0.0019575085982192074,66
06037,4,0.28491088916370866,0.02142803910062736,65
06037,5,0.1420940770923316,0.25885090728879767,65
06037,6,0.016682008121955142,0.8959059822225064,64
06047,-2,0.28365384615384615,0.022034794035499128,65
06047,-1,0.4424825174825175,0.0002236812881414813,65
06047,0,0.5835227272727272,3.3702409357178155e-07,65
06047,1,0.7126831501831501,3.9621284733317726e-11,64
06047,2,0.7752976190476191,8.717008309478062e-14,63
06047,3,0.7521089874342122,1.837403548899222e-12,62
06047,4,0.7046007403490215,2.34274348663243e-10,61
06047,5,0.5932759099749931,5.871826639227087e-07,60
06047,6,0.47007597895967285,0.0001722758098967916,59
06059,-2,0.24019138755980862,0.07457138222721695,56
06059,-1,0.4716336295283664,0.00024326144164778143,56
06059,0,0.6478468899521531,6.770433430790781e-08,56
06059,1,0.7771284271284273,3.042427606285053e-12,55
06059,2,0.8195540308747855,3.536218409819299e-14,54
06059,3,0.7708434123528464,1.4641847651605964e-11,53
06059,4,0.6834286690002561,2.361426379004988e-08,52
06059,5,0.5563800904977375,2.241490647517328e-05,51
06059,6,0.40888355342136856,0.003196542049908482,50
06067,-2,0.32437171244886026,0.00035982388886196884,117
06067,-1,0.4753030916093453,6.125962944846959e-08,117
06067,0,0.6044373510767432,5.358020522006771e-13,117
06067,1,0.6839272671356629,2.640302539768099e-17,116
