horizon,block,estimator,rmse_rolling_origin,r2_rolling_origin,rmse_random_kfold,r2_random_kfold,rmse_ratio_kfold_over_rolling,r2_inflation_kfold_minus_rolling
0,ar,gradient_boosting,0.250837618223446,0.22177768465910597,0.1960952724400647,0.469329529544123,0.7817618179797223,0.24755184488501702
0,ar,random_forest,0.24804969799893978,0.23898056419246783,0.19568171249608557,0.4715655103023968,0.7888810753437078,0.23258494610992897
0,ar,ridge,0.22279688022783112,0.38604498152896005,0.20370019385406213,0.4273707091754064,0.9142865629256531,0.041325727646446375
0,wbe,gradient_boosting,0.2473107145432257,0.1767114262506746,0.2068076658577067,0.40721451733728997,0.8362260658203721,0.23050309108661537
0,wbe,random_forest,0.23953369877033143,0.22767611708098368,0.2037810891257169,0.4244380817344541,0.850740794184059,0.1967619646534704
0,wbe,ridge,0.24069880529081789,0.2201445836568674,0.21681086163374652,0.34848208214015597,0.9007558694435172,0.12833749848328857
0,wbe+ar,gradient_boosting,0.24084264705900413,0.21921222090548376,0.1875129147471836,0.5126660554519066,0.7785702284747134,0.2934538345464228
0,wbe+ar,random_forest,0.22785387152759687,0.3011579196254365,0.18368795054960843,0.5323449476949376,0.8061655890159443,0.2311870280695011
0,wbe+ar,ridge,0.22087202534111486,0.3433292823103635,0.19353559981386245,0.4808581757475616,0.8762340976181388,0.1375288934371981
1,ar,gradient_boosting,0.4500800313709904,0.20106414348868906,0.3530996547033697,0.46029685508880647,0.7845263732936375,0.2592327116001174
1,ar,random_forest,0.45048824269391236,0.1996142566322986,0.344101053971885,0.48745456627817774,0.7638402545517421,0.28784030964587914
1,ar,ridge,0.40998264327552775,0.33707657577812866,0.3597054848907932,0.4399143015944236,0.8773675929716226,0.10283772581629491
1,wbe,gradient_boosting,0.42843531398818757,0.26850861516105273,0.3487894898780476,0.4712376886621741,0.8141007019969042,0.20272907350112135
1,wbe,random_forest,0.41554524208012245,0.31186234588773887,0.337431264323286,0.5051149309584253,0.8120205218430222,0.19325258507068643
1,wbe,ridge,0.41396175366363086,0.3170968270144455,0.36807055039110465,0.4111619661452537,0.8891414415308144,0.09406513913080816
1,wbe+ar,gradient_boosting,0.43253846804945123,0.25443043739037496,0.30139461103240456,0.6051749688171644,0.6968041764968446,0.3507445314267894
1,wbe+ar,random_forest,0.40854124155259003,0.3348639251718837,0.2901978065342078,0.6339655483506996,0.7103268336664407,0.29910162317881595
1,wbe+ar,ridge,0.3911798478781596,0.39019407271746887,0.33056934201960925,0.5250380057680284,0.8450571874105625,0.13484393305055953
2,ar,gradient_boosting,0.6141821041831574,0.18877633572608687,0.47372820967027957,0.49073028185259804,0.7713155535528391,0.30195394612651116
2,ar,random_forest,0.6116680224769231,0.19540403904066428,0.4564649568223075,0.5271708496697994,0.7462625804335372,0.33176681062913516
2,ar,ridge,0.5581245902352219,0.33010211008228374,0.48186697849327564,0.47308120369733053,0.8633681205305658,0.1429790936150468
2,wbe,gradient_boosting,0.6086158483734131,0.23125735268589187,0.4704452288180905,0.4979421447310429,0.77297564642032,0.26668479204515105
2,wbe,random_forest,0.587784946422356,0.2829798193250763,0.4632988646213437,0.5130794525557345,0.7882115175648575,0.23009963323065818
2,wbe,ridge,0.5615290963405957,0.34560648034013963,0.5078931998058096,0.4148321922133633,0.9044824268513894,0.06922571187322368
2,wbe+ar,gradient_boosting,0.6052864544290338,0.23964506219419002,0.401767589947828,0.633827749224797,0.6637643829760159,0.394182687030607
2,wbe+ar,random_forest,0.569436487762631,0.3270465181520573,0.3855817144047715,0.6627371622984539,0.6771285695438274,0.3356906441463966
2,wbe+ar,ridge,0.5236233954113314,0.4309734301664122,0.44043528885175204,0.5599522073254383,0.8411298897478958,0.12897877715902606
