horizon,block,estimator,n,rmse,mae,r2,spearman,bias
0,wbe,ridge,1263,0.7907113901967937,0.6361993789051871,0.19308622979071777,0.45585708546604126,-0.0014678813668651716
0,wbe,random_forest,1263,0.647448051361411,0.5097880679121182,0.45899535567410743,0.5813607817197173,0.006845462059183843
0,wbe,gradient_boosting,1263,0.6643056304382319,0.5204445613491521,0.43045636335424586,0.5604797785172441,-0.00039657715924806987
0,ar,ridge,1329,0.2032753896393307,0.14961390433562688,0.9467291330046168,0.9645970408913099,-1.711439996819133e-05
0,ar,random_forest,1329,0.20639619055888428,0.15174485640607174,0.9450808868810692,0.9616584954519782,-0.0016365584990243856
0,ar,gradient_boosting,1329,0.2008657619491039,0.1461489529479624,0.9479845938726918,0.9631858975052511,0.0010639867097518923
0,wbe+ar,ridge,1263,0.19348389148582915,0.14318631239034288,0.9516851356582862,0.9660042999190468,-0.0004283905317394469
0,wbe+ar,random_forest,1263,0.21039763960924204,0.1587585857849083,0.9428688634666997,0.962849734246469,-0.002497714632558784
0,wbe+ar,gradient_boosting,1263,0.19212448037716726,0.14437793984031017,0.9523616677553814,0.9656979173713518,-0.0023995188319315746
1,wbe,ridge,1239,0.7816316041708995,0.6302598795018141,0.18237821951692312,0.4719385253278785,-0.0004066834672352432
1,wbe,random_forest,1239,0.6431967559186401,0.5106372544142896,0.44634921459084376,0.5761623168132158,0.005721863434707255
1,wbe,gradient_boosting,1239,0.659833552881374,0.5195373790584834,0.41733756229354513,0.569790278865842,-0.004189424761974998
1,ar,ridge,1302,0.3595613698385931,0.2615811243043545,0.8282463753536483,0.8982032028169451,-0.0002294059418331755
1,ar,random_forest,1302,0.35069818354025784,0.25123043152974456,0.8366094663138639,0.8957598156703646,-0.001276409404808004
1,ar,gradient_boosting,1302,0.3530467191464674,0.2536155480624287,0.8344137700161551,0.8935011405911745,0.0011249620635589573
1,wbe+ar,ridge,1239,0.32990584925237,0.24302131680979358,0.854344039607928,0.9073030631601284,-0.0009634598816787071
1,wbe+ar,random_forest,1239,0.30824939206405844,0.23192022571449414,0.8728393652198833,0.91770829531606,-0.0005655537950282456
1,wbe+ar,gradient_boosting,1239,0.3058078651228135,0.2281081761324127,0.8748457703013348,0.9139158774329182,-0.0018015021815519958
2,wbe,ridge,1220,0.7640548886434494,0.616559828978455,0.18903422881912124,0.4667042306441041,-0.0005369834004780123
2,wbe,random_forest,1220,0.6460067677249117,0.5133786133459082,0.42026764103850045,0.5746238151448043,0.008059916349762783
2,wbe,gradient_boosting,1220,0.6618398300796179,0.5218277917854085,0.39150192853634347,0.5597122730290048,0.00190606619749341
2,ar,ridge,1282,0.48147887765337016,0.35740207529954554,0.6814737808628919,0.8316147743092149,0.00025576837134071466
2,ar,random_forest,1282,0.4598063921547643,0.32766259142140963,0.7095036255345785,0.8283047447614982,0.004556040894176405
2,ar,gradient_boosting,1282,0.4719139884075101,0.3354042458999122,0.6940035350553073,0.8228461157742049,0.012128288821429448
2,wbe+ar,ridge,1220,0.43938221772475305,0.32820468352886634,0.7318126063563111,0.8455242973368898,-0.00013133472621701994
2,wbe+ar,random_forest,1220,0.3943743627983083,0.29214706860495554,0.783941798679513,0.8703700932728119,0.0005125465447257867
2,wbe+ar,gradient_boosting,1220,0.3984884369720665,0.2935288631280248,0.7794104908587729,0.865096506827888,0.0030430984164777825
