horizon,block,estimator,n,rmse,mae,r2,spearman,bias,skill_vs_nochange
0,wbe,random_forest,942,0.23953369877033143,0.18515272541731953,0.22767611708098368,0.4660116313530944,0.027627900142565026,0.1250330711730987
0,wbe,ridge,942,0.24069880529081789,0.17350264970552323,0.2201445836568674,0.4980449960888396,0.004584682160166219,0.12077717866519866
0,wbe,gradient_boosting,942,0.2473107145432257,0.18945596184119515,0.1767114262506746,0.44286169181049684,0.03469382705698988,0.09662524529648975
0,wbe,baseline_nochange,942,0.2737631456442389,0.19644251832646714,-0.008825818329957436,,0.02560615559325212,0.0
0,wbe,baseline_mean,942,0.276981597071553,0.1945756796941969,-0.032685439441140884,-0.00538609816308825,0.02172467646278518,-0.011756335644595994
0,ar,ridge,950,0.22279688022783112,0.16218122485419584,0.38604498152896005,0.5641650175991564,-0.017052343189115474,0.22219879335880688
0,ar,random_forest,950,0.24804969799893978,0.17907321362897782,0.23898056419246783,0.5317703846393604,-0.004649294614496763,0.13403924591194405
0,ar,baseline_momentum,950,0.24853705617032032,0.18288341444518533,0.23598718506218985,0.5212102482622982,-0.01129850088980692,0.1323378406975685
0,ar,gradient_boosting,950,0.250837618223446,0.18153869281264629,0.22177768465910597,0.5004588403988933,-0.00558487254656172,0.12430639995636827
0,ar,baseline_nochange,950,0.2864445032040293,0.20534762329477144,-0.01484409375369733,,0.03464317380766036,0.0
0,ar,baseline_mean,950,0.28980202865659244,0.20631502603299773,-0.03877427464063565,-0.23969195254667913,0.015176880746285953,-0.01172138203040185
0,wbe+ar,ridge,942,0.22087202534111486,0.1605433082895138,0.3433292823103635,0.5626878728291781,-0.012664991139406112,0.1932002942859855
0,wbe+ar,random_forest,942,0.22785387152759687,0.17111884563339236,0.3011579196254365,0.5553971514581676,0.0009930472820417558,0.16769705801197266
0,wbe+ar,gradient_boosting,942,0.24084264705900413,0.18214612527667076,0.21921222090548376,0.47816108763574067,-0.007878277036908134,0.1202517545148889
0,wbe+ar,baseline_momentum,942,0.2580007484292485,0.18983589073079385,0.10399969994850755,0.4959168464612,0.0071598538144854295,0.057576768333433614
0,wbe+ar,baseline_nochange,942,0.2737631456442389,0.19644251832646714,-0.008825818329957436,,0.02560615559325212,0.0
0,wbe+ar,baseline_mean,942,0.276981597071553,0.1945756796941969,-0.032685439441140884,-0.00538609816308825,0.02172467646278518,-0.011756335644595994
1,wbe,ridge,942,0.41396175366363086,0.2974415821361463,0.3170968270144455,0.5967878419489658,-0.006650760892276015,0.17712261335218427
1,wbe,random_forest,942,0.41554524208012245,0.31866348124796967,0.31186234588773887,0.5896158136663614,0.051453603974364985,0.17397493896338445
1,wbe,gradient_boosting,942,0.42843531398818757,0.32728721210207135,0.26850861516105273,0.5777894109998057,0.059774685724840036,0.14835192284767384
1,wbe,baseline_nochange,942,0.5030661437301143,0.36567143784139755,-0.008530124893866287,,0.04626561587506202,0.0
1,wbe,baseline_mean,942,0.504388020906072,0.3612070592718866,-0.013837198302065756,0.05087238438524475,0.033816422432036704,-0.0026276409025587366
1,ar,ridge,947,0.40998264327552775,0.2920869363806306,0.33707657577812866,0.5698799467160514,-0.034806696832396254,0.19147832931510989
1,ar,baseline_momentum,947,0.42960528063538045,0.309307146588819,0.2721001251799664,0.4882934436938366,0.028198265776372373,0.15278077028022752
1,ar,gradient_boosting,947,0.4500800313709904,0.31947262912696855,0.20106414348868906,0.507761862955983,-0.019052677272323966,0.11240276905716895
1,ar,random_forest,947,0.45048824269391236,0.3179977931682727,0.1996142566322986,0.540602887215983,0.0018644602853900062,0.11159774058531846
1,ar,baseline_nochange,947,0.5070768764036168,0.3632855739868907,-0.01409825524058772,,0.059788336910209024,0.0
1,ar,baseline_mean,947,0.5189913993744742,0.3698516325030383,-0.06231360725127,-0.22777076489516462,0.024722962941132017,-0.02349648253606018
1,wbe+ar,ridge,942,0.3911798478781596,0.28665946793579683,0.39019407271746887,0.6216515095403341,-0.04828270041498708,0.2224087175144499
1,wbe+ar,random_forest,942,0.40854124155259003,0.3072106231679961,0.3348639251718837,0.6285936920404817,-0.010925133481778374,0.18789756248879097
1,wbe+ar,baseline_momentum,942,0.431699121918407,0.3128497269553816,0.2573212033987081,0.47687114505805156,0.025620098232431644,0.1418640922295784
1,wbe+ar,gradient_boosting,942,0.43253846804945123,0.33150770638772653,0.25443043739037496,0.5812456460712474,-0.02282364475932979,0.1401956314486149
1,wbe+ar,baseline_nochange,942,0.5030661437301143,0.36567143784139755,-0.008530124893866287,,0.04626561587506202,0.0
1,wbe+ar,baseline_mean,942,0.504388020906072,0.3612070592718866,-0.013837198302065756,0.05087238438524475,0.033816422432036704,-0.0026276409025587366
2,wbe,ridge,939,0.5615290963405957,0.4029076106308322,0.34560648034013963,0.6318251981675277,0.002496241133024775,0.19520261891162294
2,wbe,random_forest,939,0.587784946422356,0.44387629840191456,0.2829798193250763,0.6019615010582169,0.09043338552698982,0.1575720855665922
2,wbe,gradient_boosting,939,0.6086158483734131,0.45764724167168813,0.23125735268589187,0.5884346332776473,0.10180115351871533,0.12771672197960737
2,wbe,baseline_mean,939,0.6946139476695792,0.5026814012689025,-0.001339757147648779,0.09792889729254904,0.054001345096458375,0.004462120315738005
2,wbe,baseline_nochange,939,0.697727290788652,0.5136902559606745,-0.010336123517307616,,0.07057186830198647,0.0
2,ar,ridge,943,0.5581245902352219,0.4034869941036977,0.33010211008228374,0.5758192223925302,-0.0578152132609085,0.18864781624220472
2,ar,baseline_momentum,943,0.6082998234890726,0.4347472445011782,0.20424078602666318,0.4482708657003262,0.05575414813520441,0.1157074982857581
2,ar,random_forest,943,0.6116680224769231,0.43787650886877133,0.19540403904066428,0.5581852704816673,-0.0021371614175562455,0.11081110839014086
2,ar,gradient_boosting,943,0.6141821041831574,0.44281981921518787,0.18877633572608687,0.5223003808682436,-0.02380910720885881,0.10715635868337903
2,ar,baseline_nochange,943,0.6878943588347242,0.4943099840594405,-0.017629740867467936,,0.09054194441886187,0.0
2,ar,baseline_mean,943,0.7102273287599579,0.5040777825309721,-0.08477846244068088,-0.20873266964922946,0.05010161402428578,-0.0324656971501629
2,wbe+ar,ridge,939,0.5236233954113314,0.3889564848065725,0.4309734301664122,0.646462898706448,-0.08068873870860349,0.24953000645929768
2,wbe+ar,random_forest,939,0.569436487762631,0.4312885026036187,0.3270465181520573,0.6448132476011998,-0.012917008570086838,0.18386955006591754
2,wbe+ar,gradient_boosting,939,0.6052864544290338,0.4574851207287619,0.23964506219419002,0.603098478502055,0.015390822129769723,0.1324884916786484
2,wbe+ar,baseline_momentum,939,0.6247930453889319,0.454585057858118,0.18984739270012618,0.4385365233885612,0.045437762976307625,0.10453116333930612
2,wbe+ar,baseline_mean,939,0.6946139476695792,0.5026814012689025,-0.001339757147648779,0.09792889729254904,0.054001345096458375,0.004462120315738005
2,wbe+ar,baseline_nochange,939,0.697727290788652,0.5136902559606745,-0.010336123517307616,,0.07057186830198647,0.0
